temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,fluence_n_cm2,flux_n_cm2_sec,Product Form_0,Product Form_1,Product Form_2,Product Form_3,Product Form_4,Product Form_5,Reactor Type_0,Reactor Type_1
287.0,0.04,0.74,0.6,0.012,4.619e+18,146468000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
287.0,0.04,0.74,0.6,0.012,4.619e+18,146468000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
287.0,0.04,0.74,0.6,0.012,4.385e+19,144841000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
287.0,0.04,0.74,0.6,0.012,4.385e+19,144841000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
287.0,0.03,0.56,1.4,0.005,4.619e+18,146468000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
287.0,0.03,0.56,1.4,0.005,4.385e+19,144841000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
291.1111111,0.15,0.52,1.32,0.01,7.27e+17,24524488056.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
291.1111111,0.15,0.52,1.32,0.01,7.27e+17,24524488056.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
292.2222222,0.15,0.52,1.32,0.01,1.03e+19,92524322219.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
292.2222222,0.15,0.52,1.32,0.01,1.46e+19,86535133264.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
292.2222222,0.15,0.52,1.32,0.01,1.03e+19,92524322219.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
292.2222222,0.15,0.52,1.32,0.01,1.46e+19,86535133264.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
292.2222222,0.15,0.52,1.32,0.01,4.28e+18,45696265889.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
292.2222222,0.15,0.52,1.32,0.01,4.28e+18,45696265889.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
291.1111111,0.17,0.64,1.478,0.011,7.27e+17,24524488056.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
292.2222222,0.17,0.64,1.478,0.011,1.03e+19,92524322219.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
292.2222222,0.17,0.64,1.478,0.011,1.46e+19,86535133264.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
292.2222222,0.17,0.64,1.478,0.011,4.28e+18,45696265889.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
291.1111111,0.27,0.58,1.49,0.016,7.27e+17,24524488056.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
292.2222222,0.27,0.58,1.49,0.016,1.03e+19,92524322219.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
292.2222222,0.27,0.58,1.49,0.016,1.46e+19,86535133264.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
