temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),fluence_n_cm2,flux_n_cm2_sec
290.0,0.0,1.7,1.55,0.047,0.17,0.16,17.84509804,11.8920946,7e+17,780000000000.0
290.0,0.0,1.7,1.55,0.047,0.17,0.16,18.25527251,11.8920946,1.8e+18,780000000000.0
290.0,0.0,1.7,1.55,0.047,0.17,0.16,18.53147892,11.8920946,3.4e+18,780000000000.0
290.0,0.0,1.7,1.55,0.047,0.17,0.16,19.13353891,11.8920946,1.36e+19,780000000000.0
290.0,0.0,1.7,1.55,0.047,0.17,0.16,19.52113808,11.98677173,3.32e+19,970000000000.0
290.0,0.0,1.7,1.55,0.047,0.17,0.16,17.60205999,11.41497335,4e+17,260000000000.0
290.0,0.0,1.7,1.55,0.047,0.17,0.16,18.0,11.50514998,1e+18,320000000000.0
290.0,0.0,1.7,1.55,0.047,0.17,0.16,18.68124124,11.50514998,4.8e+18,320000000000.0
290.0,0.0,1.7,1.55,0.047,0.17,0.16,19.19589965,11.47712125,1.57e+19,300000000000.0
290.0,0.0,1.7,1.55,0.047,0.17,0.16,17.47712125,11.0,3e+17,100000000000.0
290.0,0.0,1.7,1.55,0.047,0.17,0.16,18.04139269,11.0,1.1e+18,100000000000.0
290.0,0.0,1.7,1.55,0.047,0.17,0.16,18.60205999,10.90308999,4e+18,80000000000.0
270.0,0.0,1.7,1.55,0.047,0.17,0.16,18.5797836,11.96378783,3.8e+18,920000000000.0
270.0,0.0,1.7,1.55,0.047,0.17,0.16,19.18184359,11.96378783,1.52e+19,920000000000.0
270.0,0.0,1.7,1.55,0.047,0.17,0.16,19.23299611,11.5563025,1.71e+19,360000000000.0
270.0,0.0,1.7,1.55,0.047,0.17,0.16,18.61278386,11.07918125,4.1e+18,120000000000.0
310.0,0.0,1.7,1.55,0.047,0.17,0.16,18.60205999,11.99122608,4e+18,980000000000.0
310.0,0.0,1.7,1.55,0.047,0.17,0.16,19.16731733,11.99122608,1.47e+19,980000000000.0
310.0,0.0,1.7,1.55,0.047,0.17,0.16,19.20411998,11.53147892,1.6e+19,340000000000.0
310.0,0.0,1.7,1.55,0.047,0.17,0.16,18.5797836,11.04139269,3.8e+18,110000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,17.60205999,11.70757018,4e+17,510000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,17.84509804,11.8920946,7e+17,780000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,18.25527251,11.8920946,1.8e+18,780000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,18.53147892,11.8920946,3.4e+18,780000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,18.8920946,12.0,7.8e+18,1000000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,19.13353891,11.8920946,1.36e+19,780000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,19.52113808,11.98677173,3.32e+19,970000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,19.0,11.88649073,1e+19,770000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,17.60205999,11.41497335,4e+17,260000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,18.0,11.50514998,1e+18,320000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,18.38021124,11.49136169,2.4e+18,310000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,18.68124124,11.50514998,4.8e+18,320000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,18.92941893,11.41497335,8.5e+18,260000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,19.19589965,11.47712125,1.57e+19,300000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,17.47712125,11.0,3e+17,100000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,18.04139269,11.0,1.1e+18,100000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,18.38021124,10.90308999,2.4e+18,80000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,18.60205999,10.90308999,4e+18,80000000000.0
270.0,0.0,0.74,1.37,0.005,0.22,0.16,18.5797836,11.96378783,3.8e+18,920000000000.0
270.0,0.0,0.74,1.37,0.005,0.22,0.16,19.18184359,11.96378783,1.52e+19,920000000000.0
270.0,0.0,0.74,1.37,0.005,0.22,0.16,18.63346846,11.39794001,4.3e+18,250000000000.0
270.0,0.0,0.74,1.37,0.005,0.22,0.16,19.23299611,11.5563025,1.71e+19,360000000000.0
270.0,0.0,0.74,1.37,0.005,0.22,0.16,18.41497335,10.90308999,2.6e+18,80000000000.0
270.0,0.0,0.74,1.37,0.005,0.22,0.16,18.61278386,11.07918125,4.1e+18,120000000000.0
310.0,0.0,0.74,1.37,0.005,0.22,0.16,18.60205999,11.99122608,4e+18,980000000000.0
310.0,0.0,0.74,1.37,0.005,0.22,0.16,19.16731733,11.99122608,1.47e+19,980000000000.0
310.0,0.0,0.74,1.37,0.005,0.22,0.16,18.60205999,11.36172784,4e+18,230000000000.0
310.0,0.0,0.74,1.37,0.005,0.22,0.16,19.20411998,11.53147892,1.6e+19,340000000000.0
310.0,0.0,0.74,1.37,0.005,0.22,0.16,18.38021124,10.84509804,2.4e+18,70000000000.0
310.0,0.0,0.74,1.37,0.005,0.22,0.16,18.5797836,11.04139269,3.8e+18,110000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,19.95904139,13.32221929,9.1e+19,21000000000000.0
290.0,0.0,0.74,1.37,0.005,0.22,0.16,20.34242268,13.32221929,2.2e+20,21000000000000.0
300.0,0.0,0.74,1.37,0.005,0.22,0.16,20.11394335,13.98677173,1.3e+20,97000000000000.0
300.0,0.0,0.74,1.37,0.005,0.22,0.16,19.81954394,13.97772361,6.6e+19,95000000000000.0
300.0,0.0,0.74,1.37,0.005,0.22,0.16,19.23044892,13.98677173,1.7e+19,97000000000000.0
300.0,0.0,0.74,1.37,0.005,0.22,0.16,19.51851394,13.98677173,3.3e+19,97000000000000.0
290.0,0.0,1.7,1.55,0.047,0.17,0.16,20.13987908640124,12.56584781867352,1.38e+20,3680000000000.0
288.0,0.0020000000949949,0.699999988079071,1.309999942779541,0.003000000026077,0.0,0.0,19.39794000867204,12.97932719795048,2.5e+19,9535142722016.264
288.0,0.0020000000949949,0.699999988079071,1.309999942779541,0.0149999996647238,0.0,0.0,19.39794000867204,12.97932719795048,2.5e+19,9535142722016.264
288.0,0.0020000000949949,0.699999988079071,1.309999942779541,0.025000000372529,0.0,0.0,19.39794000867204,12.97932719795048,2.5e+19,9535142722016.264
290.0,0.005,0.74,1.37,0.005,0.22,0.16,20.13987908640124,12.56584781867352,1.38e+20,3680000000000.0
285.0,0.0070000002160668,0.7250000238418579,1.379999995231628,0.0080000003799796,0.0,0.0,19.75050839485134,12.85376177924394,5.63e+19,7141045154743.785
275.0,0.01,0.9,1.33,0.012,0.43,0.07,17.61172330800734,9.1846914308176,4.09e+17,1530000000.0
275.0,0.01,0.9,1.33,0.012,0.43,0.07,17.72098574415374,9.294466226161592,5.26e+17,1970000000.0
276.0,0.01,0.67,1.35,0.003,0.0,0.0,17.41497334797082,9.146128035678238,2.6e+17,1400000000.0
276.0,0.01,0.67,1.35,0.003,0.0,0.0,18.04139268515823,10.11394335230684,1.1e+18,13000000000.0
276.0,0.01,0.67,1.35,0.003,0.0,0.0,17.66275783168157,9.146128035678238,4.6e+17,1400000000.0
276.0,0.01,0.67,1.35,0.003,0.0,0.0,18.23044892137827,10.11394335230684,1.7e+18,13000000000.0
276.0,0.01,0.93,1.35,0.005,0.0,0.0,17.20411998265593,9.146128035678238,1.6e+17,1400000000.0
276.0,0.01,0.93,1.35,0.005,0.0,0.0,18.0,10.11394335230684,1e+18,13000000000.0
276.0,0.01,0.96,1.35,0.004,0.0,0.0,17.25527250510331,9.146128035678238,1.8e+17,1400000000.0
276.0,0.01,0.96,1.35,0.004,0.0,0.0,18.11394335230684,10.11394335230684,1.3e+18,13000000000.0
